class_name,sentence
Security,Configuration credentials and authentication tokens are not held in plain text in configuration files.
Security,Configuration stores are secured from unauthorized access and tampering.
Security,Cookies containing WCS login information about a user will not be stored on a user's computer.
Security,Cookies with sensitive data (e.g. authentication cookies) are encrypted.
Security,Cryptographic algorithm and key size for the System's data encryption requirements is AES 256 bit or stronger.
Security,Customer will no longer be able to access the website.
Security,"Data collection devices (e.g. – handheld devices, etc.) synchronize with the System securely using authentication, authorization and encryption mechanisms."
Security,Data integrity scripts will be run on a weekly basis to verify the integrity of the database.
Security,"Data is validated for type, length, format, and range."
Security,Data Recipient shall use appropriate safeguards to protect the IIHI from misuse or inappropriate disclosure and to prevent any use or disclosure of the IIHI other than as provided in this DUA or as otherwise required by law or regulation.
Security,Data validation is consistent across the System.
Security,"Database keys, connections, passwords, or other secrets are not stored in plain text."
Security,"Database or file encryption for protection of sensitive data fields while the data is at rest (i.e., stored data) is provided."
Security,Database will mark the account as inactive  and user will not be able to log into the website
Security,Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students' personal information.
Security,Each conference room reservation in the system will contain the same information as was entered by the user.
Security,Each team owner will need to use a username and password in order to be authenticated to reach the team owner's page
Security,Electronic sessions must terminate after ten minutes of inactivity.
Security,"Encrypted data delivered over the Internet is transmitted via open protocols (e.g., SSL, XML encryption)"
Security,Encryption capability for certain data transmissions that require security protection.
Security,Encryption keys are secured.
Security,Ensure that authentication is reset after a period of inactivity that exceeds ten minutes.
Security,Every user of the system shall be authenticated and authorized.
Security,Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.
Security,"For e-prescribing and for CCHIT certification, EHR systems shall have the ability to support two-factor authentication."
Security,For systems that provide access to PHI through a web browser interface (i.e. HTML over HTTP) shall include the capability to encrypt the data communicated over the network via SSL (HTML over HTTPS).
Security,"Furthermore, if CMS determines that the risk of harm requires notification of affected individual persons of the  security breach possibly and possibly other remedies, the User agrees to carry out these remedies without cost to CMS."
Security,"Identify and respond to suspected or known security incidents; mitigate, to the extent practicable, harmful effects of security incidents that are known to the covered entity; and document security incidents and their outcomes."
Security,Identify security standard (SSL or FIPS encryption).
Security,If a user account is revoked  it can only be re-instantiated by the System Administrator.
Security,"If Structured Query Language (SQL) authentication is used (e.g., communication between the application server and the database server) credentials are secured in storage and over the wire via Secure Socket Layer (SSL) or IP Security (IPSec)."
Security,"If the system includes hardware, the system shall include documentation that covers the expected physical environment necessary for proper secure and reliable operation of the system including: electrical, HVAC, sterilization, and work area."
Security,If this is your first time logging in to OpenEMR it is recommended that you change your password to something more secure.
Security,Implement a mechanism to encrypt and decrypt electronic protected health information.
Security,Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.
Security,Implement a security awareness and training program for all members of its workforce (including management).
Security,Implement electronic mechanisms to corroborate that electronic protected health information has not been altered or destroyed in an unauthorized manner.
Security,Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.
Security,"Implement physical safeguards for all workstations that access electronic protected health information, to restrict access to authorized users."
Security,"Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected health information into and out of a facility, and the movement of these items within the facility."
Security,"Implement policies and procedures that specify the proper functions to be performed, the manner in which those functions are to be performed, and the physical attributes of the surroundings of a specific workstation or class of workstation that can access electronic protected health information."
Security,Implement policies and procedures to address security incidents.
Security,"Implement policies and procedures to address the final disposition of electronic protected health information, possibly and possibly the hardware or electronic media on which it is stored."
Security,"Implement policies and procedures to document repairs and modifications to the physical components of a facility which are related to security (for example, hardware, walls, doors, and locks)."
Security,"Implement policies and procedures to prevent, detect, contain, and correct security violations."
Security,Implement policies and procedures to protect electronic protected health information from improper alteration or destruction.
Security,"Implement policies and procedures to safeguard the facility and the equipment therein from unauthorized  physical access, tampering, and theft."
Security,"Implement procedures for removal of electronic protected health infoImplement policies and procedures to address the final disposition of electronic protected health information, possibly and possibly the hardware or electronic media on which it is stored.rmation from electronic media before the media are made available for re-use."
Security,"Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports."
Security,Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.
Security,Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level to comply with section 164.306(a).
Security,Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.
Security,Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.
Security,"In the event that a system does not support pre-login capabilities, the system shall display the banner immediately following authorization."
Security,Information will be encrypted in the database.
Security,It should be possible to assign access rights to all subsystems independently.
Security,Key management procedure to secure and manage the encryption keys is defined.
Security,Login to OpenEMR using your assigned username and password.
Security,Measures are in place to detect unauthorized changes to information
Security,"Measures are in place to prevent the upload of unauthorized files (e.g., executable files)."
Security,"Measures are in place to prevent, detect and log unauthorized attempts to access sensitive or confidential data."
Security,"Measures are in place to prevent, detect and log unauthorized attempts to access the System."
Security,"MIDs should be considered private, sensitive information."
Security,No invalid data shall be entered into the system.
Security,Note that the OpenEMR login is case-sensitive.
Security,"On this page is displayed recommendations and warnings regarding directories Apache should NOT allow the outside world to see, as these directories contain Protected Health Information."
Security,Only authorized user shall access the RFS system.
Security,Only authorized users shall have access to clinical site information.
Security,Only authorized users shall have access to students' personal information.
Security,Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.
Security,Only managers are able to perform search queries for reservations by user.
Security,Only registered realtors shall be able to access the system.
Security,Only the System Administrator shall be able to reset a revoked user logon account
Security,ONLY users that exist in the UAS system  with the RFS system assigned to their role(s)  shall access the RFS system and use it.
Security,Only users with Update access must be able to initiate dispute requests.
Security,Only valid data shall be entered into the system.
Security,Periodic security updates.
Security,"Physical security protects the providers, the patients, clinic assets, and the physical manifestation of the business, financial, and health information."
Security,Platform-level cryptography is used with no custom implementations.
Security,"Private and sensitive data (for example, passwords) are not logged"
Security,"Procedures for creating, changing, and safeguarding passwords."
Security,"Procedures for guarding against, detecting, and reporting malicious software."
Security,Procedures for monitoring log-in attempts and reporting discrepancies.
Security,Protect electronic health information created or maintained by the certified EHR technology through the implementation of appropriate technical capabilities.
Security,Protect electronic health information created or maintained by the certified EHR technology through the implementation of appropriate technical capabilities.
Security,Protection mechanisms are in place for sensitive data that is sent over the network.
Security,"Remote administration channels are secured (e.g., SSL, VPN)"
Security,Remove MID from being displayed on all pages and URLs.
Security,Secrets are stored securely using a one-way hash.
Security,Security decisions do not rely on HTTP header information.
Security,Security measures implemented to comply with standards and implementation specifications adopted under section 164.105 and this subpart must be reviewed and modified as needed to continue provision of reasonable and appropriate protection of electronic protected health information as described at section 164.316.
Security,Sensitive data and secrets are not incorporated in  code.
Security,Sensitive data is not logged in clear text by the System.
Security,Sensitive data is not passed in query strings or form fields.
Security,Sensitive data is not stored in persistent cookies.
Security,"Sensitive data is not transmitted using insecure protocols, such as FTP, telnet, tftp etc., unless tunneled through an authenticated encrypted connection (e.g. VPN)."
Security,Session identifiers are not passed in query strings.
Security,Session lifetime is limited to a pre-specified and configurable duration.
Security,Session state is protected from unauthorized access.
Security,SSL is used to protect authentication cookies.
Security,System allows addition of user-defined messages to logon screen
Security,System allows secure password resets in case passwords are forgotten.
Security,System allows users to re-authenticate and remotely log out of an active user session before logging in at another location.
Security,System allows viewing of list of Users logged on to System in real-time
Security,System authenticates standalone devices before access is allowed to protected resources.
Security,"System authenticates the user before any access is allowed to protected resources (e.g., Protected Health Information)"
Security,System avoids un-trusted input of file name and file paths.
Security,System code does not rely on internal system generated error handling.
Security,System does not rely on client-side validation.
Security,System does not use parent paths when data within the System is being accessed.
Security,System encrypts passwords before being stored or transmitted.
Security,"System encrypts sensitive data transmitted between clients and servers using Secure Socket Layer (SSL) Certificates, Transport Layer Security (TLS), or by other means"
Security,System exception handling minimizes information disclosure in case of an exception.
Security,System has the ability to disallow more than one active session per sign-on identification.
Security,System insures that input validation is applied whenever input is received through user or external data interfaces.
Security,System insures that minimum error information is returned in the event of authentication failure.
Security,System must support password complexity that meets the following requirements:
Security,System performs secure and seamless logon for all third party integrated systems.
Security,System provides a web (HTTPS) interface and provides an SSL configuration mechanism.
Security,System provides an automatic timeout if the session is idle for a pre-specified and configurable duration.
Security,System provides integrated security managed in a central accounts database
Security,System provides reminder alerts to users to reset passwords.
Security,System provides secure information delivery over the Internet via encryption by using triple-DES (Data Encryption Standard) or the Advanced Encryption Standard (AES)
Security,System provides the following password change rules for user accounts:
Security,System provides the option for multi-factor authentication for users with higher security access.
Security,System restricts users from directly accessing the database.
Security,"System returns generic error messages to the client, to avoid disclosure of sensitive information."
Security,System shall let existing customers log into the website with their email address and password in under 5 seconds.
Security,System uses least-privileged accounts.
Security,System warns the user before the timeout and prompts the user to re-enter their password.
Security,"Temporary objects are removed from the system, database connections are closed, and memory is released."
Security,The administrator has authenticated himself or herself in the iTrust Medical Records system (UC3).
Security,The County standard for users is 90 days.
Security,The Disputes application shall ensure that only authorized users are allowed to logon to the application.
Security,The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.
Security,The Disputes application shall manipulate and view business data.
Security,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user's access level.
Security,"The equipment storing PHI and BI should be subject to: Physical access restrictions: Place the server in a protected, locked area and limit access."
Security,The first screen gives some general instructions and ensures file and directory permissions are set up correctly.
Security,"The HCP has authenticated himself or herself in the iTrust Medical Records system (UC2),(UC3)."
Security,The HCP has authenticated himself or herself in the iTrust Medical Records system (UC3).
Security,The HCP has authenticated himself or herself in the iTrust Medical Records system(UC3).
Security,"The Healthcare Information and Management Systems Society (HIMSS) provides a""Risk Assessment Toolkit""for conducting a risk assessment and developing a compliant security plan."
Security,The inactivity timeout shall be configurable.
Security,The iTrust user (LCHP) has been authenticated in the iTrust Medical Records system (UC3).
Security,The iTrust user (LHCP or patient) has been authenticated in the iTrust Medical Records system (UC3).
Security,The iTrust user (patient or HCP) has been authenticated in the iTrust Medical Records system (UC3).
Security,The iTrust user (patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).
Security,The iTrust user (patient) has been authenticated in the iTrust Medical Records system (UC3).
Security,"The iTrust user (patient, LHCP) or administrator has authenticated himself or herself in the iTrust Medical Records system (UC3),(UC2)."
Security,The iTrust user has authenticated himself or herself in the iTrust Medical Records system (UC3).
Security,The iTrust user has been authenticated in the iTrust Medical Records system (UC3).
Security,The leads washing functionality will verify the users authentication and rights to make parameter updates.
Security,The password is not displayed as clear text (Password Masking)
Security,The patient has authenticated himself or herself in the iTrust Medical Records system (UC3).
Security,The patient has authenticated himself or herself in the iTrust Medical Records system(UC3).
Security,The product possibly and possibly adjacent hardware or software systems' data shall remain 100% uncorrupted each time malicious data is input into the product.
Security,The product shall ensure that it can only be accessed by authorized users.
Security,The product shall ensure that only company employees or external users with company-approved user IDs may have product access.
Security,The product shall ensure that the database's data corresponds to the data entered by the user.
Security,The product shall free of computer viruses.
Security,The product shall have security.
Security,The product shall information Security.
Security,The product shall prevent its data from incorrect data being introduced.
Security,The product shall prevent the input of malicious data.
Security,The product shall provide authentication  and authorization.
Security,The product will be able to distinguish between authorized and unauthorized users in all access attempts
Security,The Proposer shall provide adequate firewall protection in order to secure Personal Data and other Confidential Information users of the EHR from unauthorized access by third parties.
Security,"The Proposer shall provide the facility required to host the computing and network environment, including appropriate physical security, required third-party software, and 24 by 7 staff support and monitoring environmental conditions (e.g. HVAC, port, fire detection, suppression, moisture, humidity and temperature."
Security,"The Proposer shall review security notifications and alerts relevant to the hosting platform (e.g., notifications of bugs, attacks, patches), and apply as appropriate to maintain the highest level of defense."
Security,"The purpose of the criteria is to provide the ability to remove a user's privileges, but maintain a history of the user in the system."
Security,The report will be reviewed for auditing purposes.
Security,"The safeguards shall provide a level  and scope of security that is not less than the level and scope of security requirements established by the Office  of Management and Budget (OMB) in OMB Circular No A-130, Appendix III--Security of Federal Automated  Information Systems (http://www.whitehouse.gov/omb/circulars/a130/a130.html) as well as Federal  Information Processing Standard 200 entitled Minimum Security Requirements for Federal Information and  Information Systems (http://csrc.nist.gov/publications/fips/fips200/FIPS-200-final-march.pdf); and, Special Publication 800-53 Recommended Security Controls for Federal Information Systems (http://csrc.nist.gov/ publications/nistpubs/800-53-Rev2/sp800-53-rev2-final."
Security,The software tester authenticates himself or herself in the iTrust Medical Records system (UC2).
Security,"The software used to install and update the system, independent of the mode or method of conveyance, shall be certified free of malevolent software (malware)."
Security,The streaming server will have anti-virus software to prevent infection of malicious viruses.
Security,The System design assumes that user input is malicious.
Security,"The system must be able to associate permissions with a user using one or more of the following access controls: 1) user-based (access rights assigned to each user); 2) role-based (users are grouped and access rights assigned to these groups); or 3) context-based (role-based with additional access rights assigned or restricted based on the context of the transaction such as time-of-day, workstation-location, emergency-mode, etc.)  The system shall support removal of a user's privileges without deleting the user from the system."
Security,The System provides error-handling processes.
Security,"The system shall authenticate the user before any access to Protected Resources (e.g. PHI) is allowed, including when not connected to a network e.g. mobile devices."
Security,The system shall automatically notify users and force them to change passwords on a pre-defined frequency.
Security,The system shall be built such that it is as secure as possible from malicious interference.
Security,"The system shall enable multiple simultaneous users, each with his or her own exclusive authentication."
Security,The system shall enforce a limit of (configurable) consecutive invalid access attempts by a user.
Security,"The system shall enforce the most restrictive set of rights or privileges or accesses needed by users or groups (e.g. System Administration, Clerical, Nurse, Doctor, etc.), or processes acting on behalf of users, for the performance of specified tasks."
Security,The System shall granularly control access rights to all major subsystems.
Security,The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.
Security,The system shall have the ability for security module to be maintained by an in-house System Administrator
Security,The system shall have the ability to assign application access rights across entire suite of applications at a single point of entry.
Security,The system shall have the ability to display the last date and time the user logged onto the system at the time of logon.
Security,"The system shall have the ability to support 128-bit SSL encryption, or higher, between the client browser and the application tier for any or all modules or sub-modules at organization discretion."
Security,"The system shall have the ability to support biometrics and biometrics plus passwords (e.g., fingerprint scan and fingerprint scan plus password)."
Security,"The system shall have the ability to support web based client access or other internet based client access technologies, with appropriate security access controls"
Security,"The system shall include documentation available to the customer stating whether or not there are known issues or conflicts with security services  in at least the following service areas:  antivirus, intrusion detection, malware eradication, host-based firewall and the resolution of that conflict (e.g. most  systems should note that full virus scanning should be done outside of peak usage times and should exclude the databases.)"
Security,"The system shall include documentation available to the customer that provides guidelines for configuration and use of the security controls necessary to support secure and reliable operation of the system, including but not limited to: creation, modification, and deactivation of user accounts, management of roles, reset of passwords, configuration of password constraints, and audit logs."
Security,"The system shall include documentation that itemizes the services (e.g. PHP, web services) and network protocols/ports (e.g. HL-7,  HTTP, FTP)  that are necessary for proper operation and servicing of the system, including justification of the need for that service and protocol."
Security,The System shall maintain consistent security.
Security,The system shall only be accessed by authorized Corporate Community Grants (CCR) employees.
Security,The system shall prevent malicious attacks including denial of service.
Security,"The system shall protect against further, possibly malicious, user authentication attempts using an appropriate mechanism (e.g. locks the account or node until released by an administrator, locks the account or node for a configurable time period, or delays the next login prompt according to a  configurable delay algorithm)."
Security,The system shall provide ability to use a single user sign-on for all modules with security configured for each module.
Security,"The system shall provide automatic logout of users when there has been no activity for a pre-defined period, maintaining transaction integrity"
Security,The system shall provide expiration dates for passwords.
Security,The system shall provide lock-out capability after a pre-defined number of unsuccessful user sign-on attempts.
Security,The system shall provide only limited feedback information to the user during the authentication.
Security,"The system shall support ensuring the authenticity of remote nodes (mutual node authentication) when communicating Protected Health Information (PHI) over the Internet or other known open networks using an open protocol (e.g. TLS, SSL, IPSec, XML sig, S or MIME)."
Security,"The system shall support protection of confidentiality of all Protected Health Information (PHI) delivered over the Internet or other known open networks via encryption using triple-DES (3DES) or the Advanced Encryption Standard (AES) and an open protocol such as TLS, SSL, IPSec, XML encryptions, or S or MIME or their successors."
Security,The system shall use the organization's standard virus protection software to help monitor threats to itself.
Security,"The system upon detection of inactivity of an interactive session shall prevent further viewing and access to the system by that session by terminating the session, or by initiating a session lock that remains in effect until the user reestablishes access using appropriate identification and authentication procedures."
Security,"The system, prior to access to any PHI, shall display a configurable warning or login banner (e.g. 'The system should only be accessed by authorized users')."
Security,"The system, when storing PHI on any device intended to be portable or removable (e.g. thumb-drives, CD-ROM, PDA, Notebook), shall support use of a standards based encrypted format using triple-DES (3DES), or the Advanced Encryption Standard (AES), or their successors."
Security,The time for passwords to be changed is predefined as per user's role and access level.
Security,"The User agrees that,  within the User organization and the organizations of its agents, access to the data covered by this Agreement  shall be limited to the minimum amount of data and minimum number of individuals necessary to achieve the purpose stated in this section (i.e., individual's access to the data will be on a need-to-know basis)."
Security,"The User agrees to establish appropriate administrative, technical, and physical safeguards to protect the  confidentiality of the data and to prevent unauthorized use or access to it."
Security,The user may try three times.
Security,"The validation approach is to constrain, reject, and then sanitize input."
Security,The WCS system shall not allow automatic logins by any user.
Security,"The web server always asserts a character set: a locale and a country code, such as en_US."
Security,"The Web-enabled portions of the application shall meet state-of-the-art Internet standards for graphics and design and for speed, reliability, and security for dynamic content and user interaction."
Security,The website shall prevent its data from being corrupted when incorrect data is entered in.
Security,The website shall protect itself from intentional abuse  and notify the administrator at all occurrences.
Security,This information may be used by the healthcare facility to properly configure their network defenses (firewalls and routers).
Security,"To begin using OpenEMR, navigate to your server's installation directory and log in using your assigned username and password."
Security,"To begin, log in with your designated username and password."
Security,"Traditional security matters involve locks, points of entry, lighting and cameras, fire precautions, power outage procedures, and water protection, and disaster recovery."
Security,User accounts and service accounts used for configuration management have only the minimum privileges required for the task.
Security,Users must be authenticated using their IBM intranet user name and password.
Security,Users will not have direct access to data files or databases.
Security,Vendor may self-certify compliance with this standard through procedures that make use of commercial malware scanning software.
Security,Web sites are partitioned into un-restricted and restricted areas using separate folders
Security,"When answer to the security question is typed in, the answer should not appear on the screen (similar to how a password normally appears) and the answer should be confirmed (by the patient or personal health representative) before it is saved."
Security,"When passwords are used, the system shall allow an authenticated user to change their password consistent with password strength rules (SC 03.02)."
Security,"When passwords are used, the system shall prevent the reuse of passwords previously used within a specific (configurable) timeframe (i.e., within the last X days, etc. - e.g. last 180 days), or shall prevent the reuse of a certain (configurable) number of the most recently used passwords (e.g. last 5 passwords)."
Security,"When passwords are used, the system shall provide an administrative function that resets passwords."
Security,"When passwords are used, the system shall support password strength rules that allow for minimum number of characters, and inclusion of alpha-numeric complexity."
Security,"When passwords are used, the system shall use either standards-based encryption, e.g., 3DES, AES, or standards-based hashing, e.g., SHA1 to store or transport passwords."
Security,"When passwords are used, user accounts that have been reset by an administrator shall require the user to change the password at next successful logon."
Security,You will then be required to login again with your new password.
Operability,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.
Operability,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.
Operability,The system shall operate within the Windows XP Professional operating system.
Operability,The system shall interface with CampusConnect's central server
Operability,The system shall interface with the faculty central server.
Operability,The system shall interface with the student master server.
Operability,We must be able to interface with any HTML browser.
Operability,The Disputes application shall be available 24x7x365  with the exception of the following scheduled maintenance windows.  Monday - Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST
Operability,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database
Operability,The Disputes application shall interface with the Cardmember Information Database.  The Cardmember Information Database provides detailed information with regard to a cardmember.  All cardmember detail information must be obtained from the Cardmember Information Database.
Operability,The Disputes applications shall interface with the Merchant Information Database.  The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.
Operability,The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.
Operability,The Disputes application shall interface with the Cardmember Posting and Billing System.  This will allow the Disputes application to request adjustments to cardmember and merchant's accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.
Operability,The product must support Internet Explorer 5.5 and above.'
Operability,The product must support Mozilla Firefox 1.0 and above.
Operability,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.
Operability,The product shall run on the existing hardware for all environments.
Operability,The product shall adhere to the corporate Architecture guidelines
Operability,For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.
Operability,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.
Operability,The maintenance of the product will fall within the established corporate maintenance windows.
Operability,The product shall be supported using the corporate support center.
Operability,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.
Operability,The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.
Operability,The product will function alongside server software on any operating system where the Java runtime can be installed.
Operability,The product will require collaboration with a database management system (DBMS).  The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.
Operability,The product must make use of web/application server technology.  Open source examples include Apache web server  Tomcat  and the JBoss application server.
Operability,A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.
Operability,The product shall be used in office environments.
Operability,The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).
Operability,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.
Operability,The product must be able to interface with various email servers. The product shall be able to send email.
Operability,The product shall be available for distribution via the Internet as a binary or ZIP file.
Operability,The product shall be available for distribution as a packaged CD.
Operability,The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.
Operability,The product is expected to integrate with multiple database management systems.  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.
Operability,The product shall be able to be installed in any operating environment within 2 days.
Operability,The product must be developed with the J2SE/J2EE programming language libraries
Operability,The System shall utilize currently owned computer equipment.
Operability,The System shall be able to automatically backup business data and restore them on demand.
Operability,The System shall not require additional third party licenses resulting in royalty fees.
Operability,All aspects of the website shall be accessed by a web browser over the Internet.
Operability,The same hardware supporting the current website will be used to support the new system.
Operability,We must be able to interface with the following browsers: IE 5.X  6.0  Netscape 6.x  7.x  8.x and Firefox 1.0.
Operability,Website must interface with the CyberSource API to process credit card transactions.
Operability,Website must be fully operational with MSN TV2.
Operability,Movies shall be encoded and streamed via Windows Media Player 9.0.
Operability,Movies shall be encoded for 56k and 256k streams.
Operability,The product shall be able to be installed in the specified environment within 1 working day.
Operability,The website should use Flash to provide animation on the home page.
Operability,The lead washing process will operate within the established physical web service structure.
Operability,The washing process must use a non binding  neutral data format  such as xml  when receiving and processing lead data.
Operability,100% of the entities (mentioned above) available as of October month-end  will be loaded into the RFS system  prior to the budget start process.
Operability,7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process  every year.
Operability,98% of the user workstations shall meet the minimum hardware requirements prior to implementation.
Operability,A database management system such as Oracle  DB2  MySql or HSQL will need to be integrated with the product.
Operability,A primary database will be used to store cached data for active users.
Operability,A secondary database will be used to store historical statistics and data.
Operability,All adjustment requests must be sent to the Cardmember Posting and Billing System.
Operability,All aspects of the website shall be accessed by a web browser over the Internet.
Operability,All cardmember detail information must be obtained from the Cardmember Information Database.
Operability,All letter requests must be sent to the Print Letter Utility application.
Operability,All merchant detail information shall be obtained from the Merchant Information Database.
Operability,All transaction details must be obtained from the Statement Database
Operability,Allow access to the EMH solution over the Internet and provide secure and confidential storage of all information transmitted to and from the LA DHS.
Operability,Brio will provide buttons in the user interface that produce or export reports in xls or .123 file formats.
Operability,"First install and configure MySQL, Apache (or another PHP-capable webserver), and PHP5."
Operability,For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.
Operability,"If using CentOS or Redhat, then ensure when configuring MySQL for OpenEMR, STRICT_MODE must be disabled."
Operability,Irregular activities are identified based on County departments' rules and regulations.
Operability,Minimum Hard Disk Space:  400MB.
Operability,Movies shall be encoded and streamed via Windows Media Player 9.0.
Operability,Movies shall be encoded for 56k and 256k streams.
Operability,Open source examples include Apache web server  Tomcat  and the JBoss application server.
Operability,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.
Operability,Queries must be made to external databases for data refresh once a week.
Operability,System integrates with Microsoft Active Directory for authentication and has the capability of notifying the end user of near domain account password expiration date as well as the ability to reset the password through the system's user interface
Operability,"System provides configuration, user accounts, roles and privileges reports."
Operability,System restricts access to financial transactions and other sensitive data by authorized users outside the County Intranet to Read Only mode.
Operability,The application shall run on a web application server.
Operability,The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats).
Operability,The Cardmember Information Database provides detailed information with regard to a cardmember.
Operability,The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.
Operability,The Disputes application shall interface with the Cardmember Information Database.
Operability,The Disputes application shall interface with the Cardmember Posting and Billing System.
Operability,The Disputes application shall interface with the Letters application.
Operability,The Disputes application shall interface with the Statement Database.
Operability,The Disputes applications shall interface with the Merchant Information Database.
Operability,The Disputes System must be accessible by both internal and external users.
Operability,"The equipment storing PHI and BI should be subject to: Physical access restrictions: Place the server in a protected, locked area and limit access."
Operability,The lead washing process will operate within the established physical web service structure.
Operability,The maintenance of the product will fall within the established corporate maintenance windows.
Operability,The Merchant Information Database provides detailed information with regard to the merchant.
Operability,The product is expected to integrate with multiple database management systems.
Operability,The product is expected to run on Windows CE and Palm operating systems.
Operability,The product must be able to interface with any HTML browser.
Operability,The product must be able to interface with various database management systems.
Operability,The product must make use of web or application server technology.
Operability,The product must support Internet Explorer 5.5 and above.
Operability,The product must support Mozilla Firefox 1.0 and above.
Operability,The product must work with most database management systems (DBMS) on the market  whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.
Operability,The product shall be able to be installed in any operating environment within 2 days.
Operability,The product shall be able to be installed in the specified environment within 1 working day.
Operability,The product shall be available for distribution as a packaged CD.
Operability,The product shall be available for distribution via the Internet as a binary or ZIP file.
Operability,The product shall be platform independent.
Operability,The product shall be supported using the corporate support center.
Operability,The product shall be used in office environments.
Operability,The product shall communicate successfully with the database management system on 100% of all transactions.
Operability,The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).
Operability,The product shall enable access to any type of development environment and platform.
Operability,The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.
Operability,The product shall interface CSR and Datastream.
Operability,The product shall interface with the Choice Parts System.
Operability,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.
Operability,The product shall operate with every platform.
Operability,The product shall run on the existing hardware for all environments.
Operability,The product shall transmit data between the user and the product without problems.
Operability,The product will function alongside server software on any operating system where the Java runtime can be installed.
Operability,The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.
Operability,The product will require collaboration with a database management system (DBMS).
Operability,The proposed EHR System is able to manage the resource roles necessary to support the environment similar to LAC DHS.
Operability,"The Proposer shall provide and manage all required infrastructure and network equipment within the data center, such as servers, routers, switches, load balancers and consoles."
Operability,The RFS system should be able to easily interface with the BDW environment  in order to load the data.
Operability,The same hardware supporting the current website will be used to support the new system.
Operability,The Statement Database provides the transaction details to the Disputes System.
Operability,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.
Operability,The system shall accommodate separate instances of databases.
Operability,The system shall be used within the specifications defined by the computers used by the Program Administrators or Nursing Staff Members.
Operability,The system shall interface with CampusConnect's central server
Operability,The system shall interface with the faculty central server.
Operability,The system shall interface with the student master server.
Operability,"The system shall lock database records based on organization parameters (e.g., at row level, field level, or at the application level)."
Operability,The system shall operate within the Windows XP Professional operating system.
Operability,"The system shall provide data export functionality that creates common export file format (e.g. comma delimited, tab delimited, space delimited, quotation delimited, etc.)."
Operability,The system shall provide data import functionality to receive standard format data from external parties.
Operability,The system shall provide the ability for on-line access by any site connected to the organization WAN.
Operability,The system shall provide the ability for remote access by authorized individuals (i.e. web based VPN access).
Operability,"The system shall provide the ability to maintain multiple operating environments for development, test, training and production."
